TipoOperacion;Comercial/Financiero;Detalle;Periodo;Monto
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202404;141606311,4
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202405;153560376,6
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202406;164485753
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202407;170760976,1
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202408;194300331,9
Ingresos;Comerciales;Comisión por Servicio Anual (Renovación);202409;260681080,8
Ingresos;Comerciales;Arancel Otorgante;202404;3114811160
Ingresos;Comerciales;Arancel Otorgante;202405;3517717797
Ingresos;Comerciales;Arancel Otorgante;202406;2916168947
Ingresos;Comerciales;Arancel Otorgante;202407;4726904934
Ingresos;Comerciales;Arancel Otorgante;202408;4375848105
Ingresos;Comerciales;Arancel Otorgante;202409;4678148877
Ingresos;Comerciales;Comisión por Administración de Cuenta;202404;689434359,8
Ingresos;Comerciales;Comisión por Administración de Cuenta;202405;752492872,6
Ingresos;Comerciales;Comisión por Administración de Cuenta;202406;778781246,4
Ingresos;Comerciales;Comisión por Administración de Cuenta;202407;811481969,1
Ingresos;Comerciales;Comisión por Administración de Cuenta;202408;941928552,1
Ingresos;Comerciales;Comisión por Administración de Cuenta;202409;929729931,6
Ingresos;Comerciales;Ingreso Paquete;202404;2711130883
Ingresos;Comerciales;Ingreso Paquete;202405;2699752800
Ingresos;Comerciales;Ingreso Paquete;202406;3371742207
Ingresos;Comerciales;Ingreso Paquete;202407;3418533595
Ingresos;Comerciales;Ingreso Paquete;202408;3647834392
Ingresos;Comerciales;Ingreso Paquete;202409;3602025026
Ingresos;Comerciales;Cgo Servicios Varios;202404;47346285,67
Ingresos;Comerciales;Cgo Servicios Varios;202405;69663414,14
Ingresos;Comerciales;Cgo Servicios Varios;202406;67807557,22
Ingresos;Comerciales;Cgo Servicios Varios;202407;326516905,1
Ingresos;Comerciales;Cgo Servicios Varios;202408;78578238,54
Ingresos;Comerciales;Cgo Servicios Varios;202409;114038976,9
Ingresos;Comerciales;Plan Incentivos Mastercard;202404;5601301,69
Ingresos;Comerciales;Plan Incentivos Mastercard;202405;5601301,69
Ingresos;Comerciales;Plan Incentivos Mastercard;202406;5601301,69
Ingresos;Comerciales;Plan Incentivos Mastercard;202407;1080840893
Ingresos;Comerciales;Plan Incentivos Mastercard;202408;1080840893
Ingresos;Comerciales;Plan Incentivos Mastercard;202409;4001853434
Ingresos;Comerciales;Comisión Transf Comercios con ctas en otros Bcos;202404;0
